Full,Name,Nvel,Type,Dist_Mpc,f_,i_deg,L3.6_GLsun,Reff_kpc,SBeff_Lsun/pc2,Rdisk_kpc,SBdisk_Lsun/pc2,MHI_GMsun,RHI_kpc,Vflat_km/s,Qual,L16a,L16b,S4G,EDD,RC,SimbadName,NEDname,_RA_deg,_DE_deg
100,UGC00731,12,10,12.5,1,57.0,0.323,1.4,25.63,2.3,82.57,1.807,11.57,73.3,1,1,1,0,0,RC,UGC00731,UGC00731,17.68333,49.60219
101,UGC00891,5,9,10.2,1,60.0,0.374,1.76,19.09,1.43,113.98,0.428,6.23,0.0,2,0,1,1,0,RC,UGC00891,UGC00891,20.32954,12.41172
105,UGC02259,8,8,10.5,1,41.0,1.725,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2,1,1,0,0,RC,UGC02259,UGC02259,41.98082,37.53844
106,UGC02455,8,10,6.92,1,51.0,3.649,1.49,254.0,0.99,795.85,0.803,7.11,0.0,3,0,0,0,0,RC,UGC02455,UGC02455,44.92849,25.24119
107,UGC02487,17,0,69.1,1,36.0,489.955,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,1,1,1,0,0,RC,UGC02487,UGC02487,45.42649,35.20565
108,UGC02885,19,5,80.6,1,64.0,403.525,12.2,421.53,11.4,470.79,40.075,74.24,289.5,1,1,1,0,0,RC,UGC02885,UGC02885,58.26017,35.58947
109,UGC02916,43,2,65.4,1,50.0,124.153,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,2,1,1,0,0,RC,UGC02916,UGC02916,60.64098,71.70592
110,UGC02953,115,2,16.5,1,50.0,259.518,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,2,1,1,0,0,RC,UGC02953,UGC02953,61.94545,69.81243
111,UGC03205,48,2,50.0,1,67.0,113.642,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,1,1,1,0,0,RC,UGC03205,UGC03205,74.06173,30.05219
112,UGC03546,30,1,28.7,1,55.0,101.336,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,1,1,1,0,0,RC,UGC03546,UGC03546,102.5361,60.84569
113,UGC03580,47,1,20.7,1,63.0,13.266,1.84,614.94,2.43,302.57,4.37,19.97,126.2,2,1,1,0,0,RC,UGC03580,UGC03580,103.87864,69.563
115,UGC04305,22,10,3.45,2,40.0,0.736,1.23,76.71,1.16,88.07,0.69,7.41,34.5,3,0,0,1,0,RC,UGC04305,UGC04305,124.77074,70.72003
116,UGC04325,8,9,9.6,1,41.0,2.026,2.79,41.0,1.86,213.22,0.678,6.61,90.9,1,1,1,0,0,RC,UGC04325,UGC04325,124.83554,50.00961
117,UGC04483,8,10,3.34,2,58.0,0.013,0.26,29.71,0.18,82.57,0.032,1.46,0.0,2,0,1,1,0,RC,UGC04483,UGC04483,129.26371,69.77478
118,UGC04499,9,8,12.5,1,50.0,1.552,2.69,33.79,1.73,127.3,1.1,8.67,72.8,1,1,1,1,0,RC,UGC04499,UGC04499,129.42287,51.65238
119,UGC05005,11,10,53.7,1,41.0,4.1,5.02,25.63,3.2,65.59,3.093,21.61,98.9,1,0,1,0,0,RC,UGC05005,UGC05005,141.12245,22.27482
120,UGC05253,73,2,22.9,1,37.0,171.582,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,2,1,1,0,0,RC,UGC05253,UGC05253,147.59264,72.27865
121,UGC05414,6,10,9.4,1,55.0,1.123,2.33,32.87,1.47,127.3,0.574,6.65,0.0,1,0,1,0,0,RC,UGC05414,UGC05414,150.98827,40.76151
122,UGC05716,12,9,21.3,1,54.0,0.588,1.84,27.59,1.14,90.54,1.094,10.64,73.1,2,1,1,0,0,RC,UGC05716,UGC05716,157.93028,25.30761
123,UGC05721,23,7,6.18,1,61.0,0.531,0.6,233.79,0.38,913.76,0.562,6.74,79.7,1,1,1,0,0,RC,UGC05721,UGC05721,158.072,27.66877
124,UGC05750,11,8,58.7,1,64.0,3.336,8.8,6.87,3.46,124.98,1.099,16.79,0.0,1,0,1,0,0,RC,UGC05750,UGC05750,158.93796,20.99019
125,UGC05764,10,10,7.47,1,60.0,0.085,1.2,9.31,1.17,33.79,0.163,3.51,0.0,2,0,1,1,0,RC,UGC05764,UGC05764,159.17976,31.54726
